Port,Service,Protocol,Description,Assignee
220,imap3,tcp,Interactive Mail Access Protocol v3,[James_Rice]
221,fln-spx,tcp,Berkeley rlogind with SPX auth,
222,rsh-spx,tcp,Berkeley rshd with SPX auth,
223,cdc,tcp,Certificate Distribution Center,[Kannan_Alagappan]
224,masqdialer,tcp,masqdialer,[Charles_Wright]
242,direct,tcp,Direct,[Herb_Sutter]
243,sur-meas,tcp,Survey Measurement,[Dave_Clark]
244,inbusiness,tcp,inbusiness,[Derrick_Hisatake]
245,link,tcp,LINK,
246,dsp3270,tcp,Display Systems Protocol,[Weldon_J_Showalter]
247,subntbcst-tftp,tcp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp"".",[John_Fake]
247,subntbcst_tftp,tcp,SUBNTBCST_TFTP,[John_Fake]
248,bhfhs,tcp,bhfhs,[John_Kelly]
256,rap,tcp,RAP,[J_S_Greenfield]
257,set,tcp,Secure Electronic Transaction,[Donald_Eastlake]
259,esro-gen,tcp,Efficient Short Remote Operations,[Mohsen_Banan]
260,openport,tcp,Openport,[John_Marland]
261,nsiiops,tcp,IIOP Name Service over TLS/SSL,[Jeff_Stewart]
262,arcisdms,tcp,Arcisdms,[Russell_Crook]
263,hdap,tcp,HDAP,[Troy_Gau]
264,bgmp,tcp,BGMP,[Dave_Thaler]
265,x-bone-ctl,tcp,X-Bone CTL,[Joe_Touch]
266,sst,tcp,SCSI on ST,[Donald_D_Woelz]
267,td-service,tcp,Tobit David Service Layer,
268,td-replica,tcp,Tobit David Replica,[Franz_Josef_Leuders]
269,manet,tcp,MANET Protocols,
270,,tcp,Reserved,
271,pt-tls,tcp,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),[IESG]
280,http-mgmt,tcp,http-mgmt,[Adrian_Pell]
281,personal-link,tcp,Personal Link,[Dan_Cummings]
282,cableport-ax,tcp,Cable Port A/X,[Craig_Langfahl]
283,rescap,tcp,rescap,[Paul_Hoffman]
284,corerjd,tcp,corerjd,[Chris_Thornhill]
286,fxp,tcp,FXP Communication,[James_Darnall]
287,k-block,tcp,K-BLOCK,[Simon_P_Jackson]
308,novastorbakcup,tcp,Novastor Backup,[Brian_Dickman]
309,entrusttime,tcp,EntrustTime,[Peter_Whittaker]
310,bhmds,tcp,bhmds,[John_Kelly]
311,asip-webadmin,tcp,AppleShare IP WebAdmin,[Ann_Huang]
312,vslmp,tcp,VSLMP,[Gerben_Wierda]
313,magenta-logic,tcp,Magenta Logic,[Karl_Rousseau]
314,opalis-robot,tcp,Opalis Robot,[Laurent_Domenech]
315,dpsi,tcp,DPSI,[Tony_Scamurra]
316,decauth,tcp,decAuth,[Michael_Agishtein]
317,zannet,tcp,Zannet,[Zan_Oliphant]
318,pkix-timestamp,tcp,PKIX TimeStamp,[Robert_Zuccherato]
319,ptp-event,tcp,PTP Event,[Kang_Lee]
320,ptp-general,tcp,PTP General,[Kang_Lee]
321,pip,tcp,PIP,[Gordon_Mohr]
322,rtsps,tcp,RTSPS,[Anders_Klemets]
323,rpki-rtr,tcp,Resource PKI to Router Protocol,[IESG]
324,rpki-rtr-tls,tcp,Resource PKI to Router Protocol over TLS,[IESG]
333,texar,tcp,Texar Security Port,[Eugen_Bacic]
344,pdap,tcp,Prospero Data Access Protocol,[B_Clifford_Neuman]
345,pawserv,tcp,Perf Analysis Workbench,
346,zserv,tcp,Zebra server,
347,fatserv,tcp,Fatmen Server,
348,csi-sgwp,tcp,Cabletron Management Protocol,
349,mftp,tcp,mftp,[Dave_Feinleib]
350,matip-type-a,tcp,MATIP Type A,[Alain_Robert]
351,matip-type-b,tcp,MATIP Type B,[Alain_Robert]
351,bhoetty,tcp,bhoetty,[John_Kelly]
352,dtag-ste-sb,tcp,DTAG,[Ruediger_Wald]
352,bhoedap4,tcp,bhoedap4,[John_Kelly]
353,ndsauth,tcp,NDSAUTH,[Jayakumar_Ramalingam]
354,bh611,tcp,bh611,[John_Kelly]
355,datex-asn,tcp,DATEX-ASN,[Kenneth_Vaughn]
356,cloanto-net-1,tcp,Cloanto Net 1,[Michael_Battilana]
357,bhevent,tcp,bhevent,[John_Kelly]
358,shrinkwrap,tcp,Shrinkwrap,[Bill_Simpson]
359,,tcp,Reserved,
360,scoi2odialog,tcp,scoi2odialog,[Keith_Petley]
361,semantix,tcp,Semantix,[Semantix]
362,srssend,tcp,SRS Send,[Curt_Mayer]
363,rsvp-tunnel,tcp,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel"".",[Andreas_Terzis]
363,rsvp_tunnel,tcp,RSVP Tunnel,[Andreas_Terzis]
364,aurora-cmgr,tcp,Aurora CMGR,[Philip_Budne]
365,dtk,tcp,DTK,[Fred_Cohen]
366,odmr,tcp,ODMR,[Randall_Gellens]
367,mortgageware,tcp,MortgageWare,[Ole_Hellevik]
368,qbikgdp,tcp,QbikGDP,[Adrien_de_Croy]
369,rpc2portmap,tcp,rpc2portmap,
370,codaauth2,tcp,codaauth2,[Robert_Watson]
371,clearcase,tcp,Clearcase,[Dave_LeBlang]
372,ulistproc,tcp,ListProcessor,[Anastasios_Kotsikona]
373,legent-1,tcp,Legent Corporation,
374,legent-2,tcp,Legent Corporation,[Keith_Boyce]
375,hassle,tcp,Hassle,[Reinhard_Doelz]
376,nip,tcp,Amiga Envoy Network Inquiry Protocol,[Heinz_Wrobel]
377,tnETOS,tcp,NEC Corporation,
378,dsETOS,tcp,NEC Corporation,[Tomoo_Fujita]
379,is99c,tcp,TIA/EIA/IS-99 modem client,
380,is99s,tcp,TIA/EIA/IS-99 modem server,[Frank_Quick]
381,hp-collector,tcp,hp performance data collector,
382,hp-managed-node,tcp,hp performance data managed node,
383,hp-alarm-mgr,tcp,hp performance data alarm manager,[Frank_Blakely]
384,arns,tcp,A Remote Network Server System,[David_Hornsby]
385,ibm-app,tcp,IBM Application,[Lisa_Tomita]
386,asa,tcp,ASA Message Router Object Def.,[Steve_Laitinen]
387,aurp,tcp,Appletalk Update-Based Routing Pro.,[Chris_Ranch]
388,unidata-ldm,tcp,Unidata LDM,[University_Corporation_for_Atmospheric_Research2]
389,ldap,tcp,Lightweight Directory Access Protocol,[Tim_Howes]
390,uis,tcp,UIS,[Ed_Barron]
391,synotics-relay,tcp,SynOptics SNMP Relay Port,
392,synotics-broker,tcp,SynOptics Port Broker Port,[Illan_Raab]
393,meta5,tcp,Meta5,[Jim_Kanzler]
394,embl-ndt,tcp,EMBL Nucleic Data Transfer,[Peter_Gad]
395,netcp,tcp,NetScout Control Protocol,[Ashwani_Singhal]
396,netware-ip,tcp,Novell Netware over IP,
397,mptn,tcp,Multi Protocol Trans. Net.,[Soumitra_Sarkar]
398,kryptolan,tcp,Kryptolan,[Peter_de_Laval]
399,iso-tsap-c2,tcp,ISO Transport Class 2 Non-Control over TCP,[Yanick_Pouffary]
400,osb-sd,tcp,Oracle Secure Backup,[Steven_Wertheimer]
401,ups,tcp,Uninterruptible Power Supply,[Charles_Bennett]
402,genie,tcp,Genie Protocol,[Mark_Hankin]
403,decap,tcp,decap,
404,nced,tcp,nced,
405,ncld,tcp,ncld,[Richard_Jones]
406,imsp,tcp,Interactive Mail Support Protocol,[John_Myers]
407,timbuktu,tcp,Timbuktu,[Marc_Epard]
408,prm-sm,tcp,Prospero Resource Manager Sys. Man.,
409,prm-nm,tcp,Prospero Resource Manager Node Man.,[B_Clifford_Neuman]
410,decladebug,tcp,DECLadebug Remote Debug Protocol,[Hewlett_Packard]
411,rmt,tcp,Remote MT Protocol,[Peter_Eriksson]
412,synoptics-trap,tcp,Trap Convention Port,[Illan_Raab]
413,smsp,tcp,Storage Management Services Protocol,[Murthy_Srinivas]
414,infoseek,tcp,InfoSeek,[Steve_Kirsch]
415,bnet,tcp,BNet,[Jim_Mertz]
416,silverplatter,tcp,Silverplatter,[Peter_Ciuffetti]
417,onmux,tcp,Onmux,[Stephen_Hanna]
418,hyper-g,tcp,Hyper-G,[Frank_Kappe]
419,ariel1,tcp,Ariel 1,[Joel_Karafin]
420,smpte,tcp,SMPTE,[Si_Becker]
421,ariel2,tcp,Ariel 2,
422,ariel3,tcp,Ariel 3,[Joel_Karafin]
423,opc-job-start,tcp,IBM Operations Planning and Control Start,
424,opc-job-track,tcp,IBM Operations Planning and Control Track,[Conny_Larsson]
425,icad-el,tcp,ICAD,[Larry_Stone]
426,smartsdp,tcp,smartsdp,[Marie_Pierre_Belange]
427,svrloc,tcp,Server Location,[Veizades]
428,ocs-cmu,tcp,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".",
428,ocs_cmu,tcp,OCS_CMU,
429,ocs-amu,tcp,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu"".",[Florence_Wyman]
429,ocs_amu,tcp,OCS_AMU,[Florence_Wyman]
430,utmpsd,tcp,UTMPSD,
431,utmpcd,tcp,UTMPCD,
432,iasd,tcp,IASD,[Nir_Baroz]
433,nnsp,tcp,NNTP for transit servers (NNSP),[IESG]
434,mobileip-agent,tcp,MobileIP-Agent,
435,mobilip-mn,tcp,MobilIP-MN,[Kannan_Alagappan_2]
436,dna-cml,tcp,DNA-CML,[Dan_Flowers]
437,comscm,tcp,comscm,[Jim_Teague]
438,dsfgw,tcp,dsfgw,[Andy_McKeen]
439,dasp,tcp,dasp,[Thomas_Obermair]
440,sgcp,tcp,sgcp,[Marshall_Rose]
441,decvms-sysmgt,tcp,decvms-sysmgt,[Lee_Barton]
442,cvc-hostd,tcp,"cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd"".",[Bill_Davidson]
442,cvc_hostd,tcp,cvc_hostd,[Bill_Davidson]
443,https,tcp,http protocol over TLS/SSL,[IESG]
444,snpp,tcp,Simple Network Paging Protocol,
445,microsoft-ds,tcp,Microsoft-DS,[Pradeep_Bahl]
446,ddm-rdb,tcp,DDM-Remote Relational Database Access,
447,ddm-dfm,tcp,DDM-Distributed File Management,[Steven_Ritland]
448,ddm-ssl,tcp,DDM-Remote DB Access Using Secure Sockets,[Steven_Ritland]
449,as-servermap,tcp,AS Server Mapper,[Barbara_Foss]
450,tserver,tcp,Computer Supported Telecomunication Applications,[Harvey_S_Schultz]
451,sfs-smp-net,tcp,Cray Network Semaphore server,
452,sfs-config,tcp,Cray SFS config server,[Walter_Poxon]
453,creativeserver,tcp,CreativeServer,
454,contentserver,tcp,ContentServer,
455,creativepartnr,tcp,CreativePartnr,[Jesus_Ortiz]
456,macon-tcp,tcp,macon-tcp,[Yoshinobu_Inoue]
